stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
03279103,Giov.XXIII-Nitti,"",41.107233,16.864205,03279103,0,
03285001,Don Guanella fronte,"",41.090543,16.865915,03285001,0,
03285007,Petroni-San Michele,"",41.103823,16.867145,03285007,0,
03285010,Petroni-Piave,"",41.108923,16.867745,03285010,0,
03285105,Petroni(mercato),"",41.106263,16.867665,03285105,0,
03285107,Petroni-Kennedy,"",41.101523,16.867175,03285107,0,
03298001,J.F. Kennedy VI,"",41.101213,16.861575,03298001,0,
03299001,Kennedy-L.King,"",41.100993,16.859205,03299001,0,
03331002,Unieuro,"",41.097252,16.832985,"",0,
03436102,Piemonte II,"",41.117622,16.793025,03436102,0,
03462001,Baridomani,"",41.090042,16.827925,03462001,0,
03479103,Aulisio 17,"",41.101182,16.834335,"",0,
04102001,Ceglie(cimitero),"",41.056103,16.870225,04102001,0,
04102101,Ceglie (AMIU),"",41.054400,16.873300,04102101,0,
04104101,SP70-Vitt. Veneto,"",41.043413,16.863395,04104101,0,
04132001,Crispi-Valenzano,"",41.041323,16.847445,04132001,0,
04219002,Di Cillo,"",41.073393,16.857105,04219002,0,
04285102,Petroni 129A,"",41.085933,16.865225,04285102,0,
04362101,Minervini 21,"",41.042673,16.851515,04362101,0,
04367101,Nuzzi-Zaccaria,"",41.046333,16.850755,04367101,0,
04443101,Manzari (scuola),"",41.066803,16.873035,04443101,0,
04513001,Liuzzi (Enel),"",41.051493,16.855425,04513001,0,
04513105,Liuzzi 111,"",41.059143,16.859425,04513105,0,
04513107,Liuzzi 71,"",41.069300,16.862600,04513107,0,
04513110,Liuzzi-Chiancone,"",41.061663,16.860415,04513110,0,
04525102,Umberto 64,"",41.073433,16.870395,04525102,0,
04528005,Umberto I 88-90,"",41.064323,16.868855,04528005,0,
04559001,Vittorio Emanuele 15,"",41.064373,16.866265,04559001,0,
05021102,Archimede 10,"",41.103183,16.904695,05021102,0,
05021105,Archimede-Appulo,"",41.104723,16.900955,05021105,0,
05027102,Bari 27,"",41.085600,16.996900,05027102,0,
05078002,Carabellese 10,"",41.107273,16.906915,05078002,0,
05118C00,Conenna Cap.,"",41.102433,16.934285,05118C00,0,
05144101,D'Avanzo II,"",41.103813,16.909225,05144101,0,
05221101,Lung. Abbrescia I,"",41.109263,16.931295,05221101,0,
05221103,Lung. Abbrescia V,"",41.111493,16.918575,05221103,0,
05221104,Torre Quetta I,"",41.113003,16.912485,05221104,0,
05252101,Fenicia-Morelli,"",41.083894,17.001676,05252101,0,
05273002,Gentile-Colella,"",41.109233,16.908325,05273002,0,
05273003,Gentile-Loiacono,"",41.108000,16.911500,05273003,0,
05273004,Reg. Puglia fronte,"",41.107193,16.913625,05273004,0,
05273101,Via Gentile (Bellavista),"",41.102973,16.924555,05273101,0,
05282001,Lung. Giovine II,"",41.107063,16.935125,05282001,0,
06009103,Amendola-Omodeo,"",41.107973,16.885095,06009103,0,
06009107,Ospedale Pediatrico,"",41.099503,16.889125,06009107,0,
06061001,Caduti Lavoro III,"",41.089343,16.897605,06061001,0,
06061101,Caduti Lavoro IV,"",41.090103,16.899495,06061101,0,
06138103,B. Croce-Bottalico,"",41.112433,16.872145,06138103,0,
06138104,B.Croce-Molfalcone,"",41.110800,16.872000,06138104,0,
06186002,Dei Mille II,"",41.117123,16.876175,06186002,0,
06195003,Resistenza (park),"",41.105800,16.875000,06195003,0,
06211103,Repubblica-Fiore,"",41.110673,16.873745,06211103,0,
06249001,Fanelli 228N,"",41.083433,16.886635,06249001,0,
06249107,Fanelli (distributore),"",41.087900,16.884500,06249107,0,
06402002,Omodeo-Amendola,"",41.107063,16.884455,06402002,0,
06402102,Omodeo-Salvemini,"",41.106273,16.882245,06402102,0,
06447002,Re David (Politecnico),"",41.110123,16.876745,06447002,0,
07081101,P.za  Carabellese,"",41.120413,16.878835,07081101,0,
07090101,Carulli-Abbrescia,"",41.120193,16.875335,07090101,0,
07222002,Crollalana-Diaz,"",41.122603,16.878665,07222002,0,
07222003,Crollalanza-Eroi,"",41.125073,16.873965,07222003,0,
07288101,I. Traiano-Guarnieri,"",41.116103,16.893955,07288101,0,
07288102,Imp. Traiano,"",41.116883,16.889685,07288102,0,
07381003,N.Sauro (Forestale),"",41.119793,16.887495,07381003,0,
07381103,Reg. Puglia fronte,"",41.121343,16.882725,07381103,0,
07511C00,P&R Pane&Pomodoro,"",41.116613,16.898635,07511C00,0,
08003001,Adriatico (CTO),"",41.136622,16.843575,08003001,0,
08126102,Crisanzio-S.Visconti,"",41.119500,16.863700,08126102,0,
08267001,Garibaldi-V.Emanuele,"",41.125433,16.862945,08267001,0,
08276001,Giordano-Verdi,"",41.136182,16.834945,08276001,0,
08311101,Libertà-Don Bosco,"",41.119953,16.856235,08311101,0,
08354101,Mazzini-Bottego,"",41.125253,16.853835,08354101,0,
08378008,Napoli 316,"",41.127402,16.845825,08378008,0,
08378009,Napoli-Paoli,"",41.127292,16.848455,08378009,0,
08378107,Napoli (casa riposo),"",41.129900,16.832400,08378107,0,
08441104,Q.Sella-Crisanzio,"",41.119853,16.864655,08441104,0,
08504101,Fiore (Necropoli),"",41.125812,16.847515,08504101,0,
08546104,V.Westerhout-Casavola,"",41.135522,16.826665,08546104,0,
09126101,Crisanzio (Ateneo),"",41.119783,16.868125,09126101,0,
09217102,S.Chiara fronte,"",41.131333,16.867705,09217102,0,
09289103,Stazione Marittima,"",41.132563,16.868035,09289103,0,
09291001,Italia-De Rossi,"",41.118463,16.866275,09291001,0,
09295104,Ferrarese,"",41.127143,16.872495,09295104,0,
09351C01,Massari (A),"",41.126673,16.866085,09351C01,0,
09435002,Piccinni-Cavour,"",41.125433,16.871565,09435002,0,
09556002,V.Emanuele-Melo,"",41.126113,16.870735,09556002,0,
10072001,Ospedale PS(S.Paolo),"",41.119052,16.783395,10072001,0,
10183103,Gerani (Pimespo),"",41.109892,16.774785,10183103,0,
POL00001,Polipark Policlinico,"",41.109853,16.856635,"",0,
05282004,lung Giovine VIII,"",41.102300,16.946500,05282004,0,
05282005,lung Giovine X,"",41.100903,16.949956,05282005,0,
05282102,lung.  Giovine  III,"",41.100800,16.950100,05282102,0,
05336101,Interesse II,"",41.093453,16.959326,05336101,0,
05342102,M. Grecia-Caldarola,"",41.110903,16.890985,05342102,0,
05414002,Papalia(ASL),"",41.106573,16.903925,05414002,0,
05432006,"via Peucetia, A6","",41.109763,16.898535,05432006,0,
05432103,Peucetia-M.Grecia,"",41.112773,16.893575,05432103,0,
05474003,Salapia-Siponto,"",41.110063,16.894715,05474003,0,
05477001,S.Giorgio Marina,"",41.094613,16.961866,05477001,0,
05510102,Toscanini-Suglia,"",41.104273,16.912445,05510102,0,
06045003,Conte Giusso-Tupputi,"",41.093853,16.889605,06045003,0,
06045102,Conte  Giusso-Bovio,"",41.093853,16.886205,06045102,0,
06061002,Caduti Lavoro V,"",41.090103,16.899575,06061002,0,
06162003,De Gasperi (scuola),"",41.091753,16.870095,06162003,0,
06162006,"De Gasperi, 296","",41.097863,16.871065,06162006,0,
06162104,De Gasperi-Lonigro,"",41.100103,16.871365,06162104,0,
