Country;ISO Country code;Population 2018;Surface 2018;;GINI index;happy planet index 2016;happy planet index 2019;human development index 2017;human development index 2021;sustainable economic development assessment (SEDA) 2018;;GDP growth 2018;GDP growth 2021 or latest year;GDP 2018;GDP 2019;GDP 2020;GDP 2021;GDP per capita 2018;GDP per capita 2019;GDP per capita 2020;GDP per capita 2021;Economic Growth 2018;Economic Growth 2021 or latest;;health expenditure 2014;health expenditure 2015;health expenditure 2016;health expenditure 2017;health expenditure 2018;health expenditure 2019;health expenditure 2020;health expenditure 2021;health expenditure 2021 or latest;health expenditure per person 2015;health expenditure per person 2018;health expenditure per person 2019;infant mortality 2020;maternal mortality per 100,000 live births 2017 (latest year);;education expenditure 2014;education expenditure 2018;education expenditure 2021 or latest year;Education as % of GDP 2018;Education as % of GDP 2021 or latest; % of primary school aged kids out of school 2018;% of primary school aged kids out of school 2021 or latest year;;Unemployment (%) 2018;Unemployment (%) 2021;% of population in extreme poverty latest year;% of population with access to electricity 2020;;political rights score 2018;political rights score 2022;civil liberties score 2018;civil liberties score 2022;political stability & absence of violence 2017;political stability & absence of violence 2021;government effectiveness 2017;government effectiveness 2021;regulatory quality 2017;regulatory quality 2021;rule of law 2017;rule of law 2021;control of corruption 2017;control of corruption 2021;judicial effectiveness score 2018;judicial effectiveness score 2022;government integrity score 2018;government integrity score 2022;overall economic freedom score 2017; overall economic freedom score 2022;financial freedom score 2018;financial freedom score 2022;government expenditure (% of GDP) 2018;;CO2e emissions per capita 2019;share of electricity from renewables generation 2015;share of electricity from renewables generation 2020 or latest year;;% of seats held by women in national parliaments 2017;% of seats held by women in national parliaments 2018; % of seats held by women in national parliaments 2021;Military Spending as % of GDP 2021;Military Spending as % of GDP 2019
Bahrain;BHR;1300000;760;;-;-;33,6;0,846;0,875;63,9;;3,2;2,22535124229128;72,7869397633731;74,3642070315634;70,6936976158936;72,2668806940105;47485,6175980067;47224,2371307608;43821,1244906362;45411,1203505007;2,11113047304872;2,22535124229128;;2,46745991706848;2,6745400428772;2,86999988555908;2,32452011108398;2,36660718917847;2,09491229057312;2,15205335617065;;2,15;2453;994,17901611;940,39569092;10,5;14;;2,467459917;2,36660718917847;2,15205335617065;2,36660718917847;2,15;1,0365799665451;2,34450006484985;;1,3;1,87399995326996;;100;;2;2;10;10;-0,95;-0,505110561847687;0,19;0,717128276824951;0,41;0,849090099334717;0,45;0,470811009407043;-0,14;0,168159812688828;55,1;27,4;51,8;41,6;67,7;62;80;80;33,4;;20,2661027913927;1,3%;1,50611029071954%;;7,5;15;15;3,55825967420951%;3,7%
Bangladesh;BGD;165000000;130170;;32,1;38,4;54,5;0,608;0,661;35,3;;6,4;6,93867508910159;838,798238917004;904,911604398012;936,11315066488;1001,06700065587;5321,94022451796;5784,26963585653;5995,40742859276;6613,01327474804;7,31941263014136;6,93867508910159;;;;1,53553998470306;;;1,32632005214691;;;1,33;88;41,90407562;45,85716248;5,1;173;;-;;1,32632005214691;;1,32632005214691;;;;4,1;5,22900009155273;;96,1999969482422;;19;15;26;24;-1,25;-0,970162391662598;-0,74;-0,627411544322968;-0,81;-0,845715045928955;-0,67;-0,611260771751404;-0,83;-0,962003231048584;32,6;28,1;21,2;22,2;55,1;52,7;30;40;13,9;;0,556529455394022;;3,92156862745098%;;20,3;20,2857142857143;20,8571428571429;1,26977671903006%;1,3%
Barbados;BRB;300000;430;;-;-;-;0,8;0,79;60,8;;0,5;1,39999999999998;4,47608687477343;4,44877045100093;3,82677229851635;3,88034711069557;15988,7701569663;16153,9712574207;14045,7728319619;14816,8628612989;-1,02713911569184;1,39999999999998;;6,14349985122681;5,38291883468628;4,70732021331787;4,36638021469116;5,42886018753052;3,20398998260498;3,05817008018494;6,4536247253418;6,45;1234;1164,54455566;1143,32202148;9,6;27;;6,229410172;5,42886018753052;6,4536247253418;5,42886018753052;6,4536247253418;1,61178994178772;2,65160989761353;;11,4;10,4130001068115;;100;;38;38;58;57;0,98;1,12222194671631;0,84;0,538301587104797;0,49;0,560486197471619;0,66;0,37469220161438;1,42;1,2429484128952;54,4;88,2;53,8;68,7;57;71,3;60;60;45;;4,35508203232516;1%;3,30820062170878%;;16,7;20;20;;
Belarus;BLR;10000000;202900;;26,5;21,7;42,9;0,808;0,808;59,9;;-3,9;2,50674234799824;179,0981119787;181,605485546401;179,971036176035;184,482446353991;19428,0074589115;20092,8803713875;20237,5511291865;21698,5740886624;3,14919759374963;2,50674234799824;;4,81830978393555;4,78751993179321;4,94654989242554;4,79499006271362;5,38111019134521;4,97947978973389;4,95244979858398;;4,95;1085;351,00680542;399,39709473;10;2;;4,818309784;5,38111019134521;4,95244979858398;5,38111019134521;4,95;1,30255997180939;5,24425983428955;;0,5;4,73600006103516;0;100;;6;2;15;6;0,03;-0,736605405807495;-0,35;-0,77081686258316;-0,74;-0,919227361679077;-0,82;-1,10014152526855;-0,26;-0,235336810350418;57,3;15,5;42;43,7;58,1;53;10;20;41,7;;6,12223776544422;23,8%;29,7787769575748%;;34,5;34,5454545454545;40;1,15580570841938%;1,2%
Belgium;BEL;11000000;30278;;25,9;23,7;42,5;0,916;0,937;77,5;;1,4;6,24472194643204;584,368887125804;596,708021095876;562,810627717678;597,956586503616;52535,23221854;54278,3894505636;53070,2148197652;58930,9363265369;1,84389968611099;6,24472194643204;;6,59046983718872;6,4515700340271;6,46173000335693;6,42534017562866;6,38137006759644;;;;6,38;4782;5134,41455078;4960,39355469;56,5;5;;6,596849918;6,38137006759644;;6,38137006759644;-;0,519879996776581;0,892660021781921;;8,3;6,42000007629395;0,1;100;;39;39;56;57;0,42;0,612554728984833;1,18;1,12509024143219;1,24;1,34247267246246;1,34;1,32595896720886;1,5;1,48448967933655;69,5;91,2;70,9;83,6;67,5;69,6;70;70;54,1;;8,09558395403513;95,2%;51,9580113018778%;;38;38;42;1,0818077805255%;0,9%
Belize;BLZ;400000;22806;;-;33,8;-;0,708;0,683;48,5;;1,5;9,75316324414021;2,73824064670793;2,79204697416728;2,32437548997763;2,55107562592193;7318,89783887291;7454,53238806964;6165,84966925761;6921,45007598508;2,04470317665661;9,75316324414021;;6,61468982696533;6,87015008926392;7,29365015029907;7,45028018951416;7,47227001190186;7,1383900642395;7,52877759933472;8,7070140838623;8,71;524;285,97033691;293,41259766;;36;;6,474110126;7,47227001190186;8,7070140838623;7,47227001190186;8,7070140838623;0,664810001850128;0,151250004768372;;11;8,2189998626709;;97,1133346557617;;36;34;50;53;0,05;0,460716962814331;-0,64;-0,488973140716553;-0,54;-0,41518360376358;-0,96;-0,77817302942276;-0,27;-0,304920166730881;53,5;70,2;34,7;38,1;57,1;56,6;50;50;33,9;;1,63955000933746;2,6%;3,16562030241401%;;9,4;9,375;12,5;1,25358390339973%;1,2%
Benin;BEN;11000000;110622;;36,5;13,4;41,4;0,515;0,525;34,5;;5,2;6,60000101128134;36,3016766249392;38,7940362395523;40,2871381581103;42,9460896839619;3236,29206474841;3426,04908935231;3505,1384547304;3789,27334657883;6,69725946087986;6,60000101128134;;3,161789894104;3,17298007011414;2,89910006523132;3,53558993339539;2,93161988258362;2,96519994735718;3,003662109375;;3;84;31,07242012;29,12529182;52,8;397;;4,321129799;2,93161988258362;3,003662109375;2,93161988258362;3;2,78896999359131;6,72456979751587;;1;1,57400000095367;4,8;41,4109573364258;;33;17;49;42;0,05;-0,301340490579605;-0,64;-0,206672295928001;-0,47;-0,431484639644623;-0,62;-0,593543827533722;-0,55;-0,154652014374733;31,3;55,3;30,2;40,3;56,7;61;50;50;21,9;;0,618583745834187;;;;7,2;7,2289156626506;8,43373493975904;0,560621374363518%;0,7%
Bhutan;BTN;800000;38394;;38,8;28,6;36,7;0,612;0,666;47,7;;7,7;-10,0763411553198;8,56121921489645;9,05393193419522;8,14162686453527;;11619,5574665237;12365,5138425313;11129,3084547092;;3,05512983672538;-10,08;;6,04489994049072;7,59009981155396;6,99333000183105;7,2257399559021;6,85084009170532;5,6758918762207;;;5,68;287;102,73851776;115,98075867;36,1;183;;5,903329849;6,85084009170532;5,6758918762207;6,85084009170532;5,68;8,13619041442871;3,65422010421753;;2,4;4,33199977874756;;100;;28;29;27;32;1,13;0,973133087158203;0,56;0,796326637268066;-0,33;-0,368813067674637;0,63;0,635634660720825;1,57;1,55373525619507;51,6;60,9;50,9;73,5;61,8;59,3;30;30;30,5;;1,37597720898904;100%;99,999553174472%;;8,5;14,8936170212766;17,0212765957447;;
Bolivia;BOL;11000000;1083301;;47;23,3;45;0,693;0,692;44,8;;4,8;6,10580420443311;98,2674608689834;100,445761215968;91,6689267587059;97,2660519428977;8862,31308813575;9092,68704420881;8283,13119529083;9030,38768128724;4,22362365271844;6,10580420443311;;8,26000022888184;8,9399995803833;8,85000038146973;8,65999984741211;8,89999961853027;;;;8,9;446;235,70088196;245,92347717;13,1;155;;7,285349846;8,89999961853027;;8,89999961853027;-;6,78708982467651;4,90049982070923;;3,7;8,50899982452393;0,9;97,5541229248047;;28;27;39;39;-0,3;-0,318567305803299;-0,39;-0,731921494007111;-0,9;-1,15390908718109;-1,21;-1,16319286823273;-0,66;-0,864102959632874;11,4;28,4;23,1;28,7;44,1;43;40;40;42,2;;1,94039800503704;32,5%;35,634091574734%;;53,1;53,0769230769231;46,1538461538462;1,54445834157747%;1,4%
Bosnia and Herzegovina;BIH;3900000;51187;;33,8;25,3;47,8;0,768;0,78;50,2;;2,8;7,10223883204758;47,8204965638922;49,1742954923153;47,6404063659768;51,0239418066465;14918,4851562103;15711,2377020718;15598,4303394866;16846,4558595952;3,74007296814042;7,10223883204758;;;;;;;;;;-;1102;539,91003418;553,82293701;2,2;10;;-;;;;;13,284740447998;;;25,8;15,2150001525879;;100;;21;19;34;34;-0,38;-0,380582392215729;-0,48;-1,04125106334686;-0,15;-0,178626731038094;-0,21;-0,278892189264297;-0,52;-0,643698513507843;43,7;37,2;28,4;33,4;61,4;63,4;60;60;44,1;;6,38291804321729;36,7%;37,2911451832949%;;21,4;21,4285714285714;26,1904761904762;0,894938348065987%;0,9%
