Country;ISO Country code;Population 2018;Surface 2018;;GINI index;happy planet index 2016;happy planet index 2019;human development index 2017;human development index 2021;sustainable economic development assessment (SEDA) 2018;;GDP growth 2018;GDP growth 2021 or latest year;GDP 2018;GDP 2019;GDP 2020;GDP 2021;GDP per capita 2018;GDP per capita 2019;GDP per capita 2020;GDP per capita 2021;Economic Growth 2018;Economic Growth 2021 or latest;;health expenditure 2014;health expenditure 2015;health expenditure 2016;health expenditure 2017;health expenditure 2018;health expenditure 2019;health expenditure 2020;health expenditure 2021;health expenditure 2021 or latest;health expenditure per person 2015;health expenditure per person 2018;health expenditure per person 2019;infant mortality 2020;maternal mortality per 100,000 live births 2017 (latest year);;education expenditure 2014;education expenditure 2018;education expenditure 2021 or latest year;Education as % of GDP 2018;Education as % of GDP 2021 or latest; % of primary school aged kids out of school 2018;% of primary school aged kids out of school 2021 or latest year;;Unemployment (%) 2018;Unemployment (%) 2021;% of population in extreme poverty latest year;% of population with access to electricity 2020;;political rights score 2018;political rights score 2022;civil liberties score 2018;civil liberties score 2022;political stability & absence of violence 2017;political stability & absence of violence 2021;government effectiveness 2017;government effectiveness 2021;regulatory quality 2017;regulatory quality 2021;rule of law 2017;rule of law 2021;control of corruption 2017;control of corruption 2021;judicial effectiveness score 2018;judicial effectiveness score 2022;government integrity score 2018;government integrity score 2022;overall economic freedom score 2017; overall economic freedom score 2022;financial freedom score 2018;financial freedom score 2022;government expenditure (% of GDP) 2018;;CO2e emissions per capita 2019;share of electricity from renewables generation 2015;share of electricity from renewables generation 2020 or latest year;;% of seats held by women in national parliaments 2017;% of seats held by women in national parliaments 2018; % of seats held by women in national parliaments 2021;Military Spending as % of GDP 2021;Military Spending as % of GDP 2019
Botswana;BWA;2200000;566730;;60,5;16,6;31,9;0,717;0,693;44,1;;-0,3;11,3641363677285;36,5663932893525;37,7909689417352;34,4931739183115;38,4130252399462;16609,9625291615;17096,7877781589;15471,0948083951;17603,7267520514;3,98039539042554;11,3641363677285;;;7,80650854110718;7,97482490539551;7,29975414276123;6,72130727767944;6,91436862945557;8,73999977111816;;8,74;970;494,19546509;481,53305054;77,5;144;;-;6,72130727767944;8,73999977111816;6,72130727767944;8,73999977111816;;;;18,4;24,7220001220703;;71,994758605957;;28;28;44;44;1,03;0,978377819061279;0,43;0,354068398475647;0,46;0,614231944084168;0,51;0,481632828712463;0,8;0,685204029083252;54,7;70,1;56,6;61,4;69,9;64,8;70;70;34,9;;3,14710707065972;0%;0,243850100466241%;;9,5;9,52380952380952;10,7692307692308;2,85964039377728%;2,8%
Brazil;BRA;209000000;8358140;;49;34,3;54,6;0,759;0,754;51,6;;-3,8;4,61942162064217;3072,54964418122;3110,05864882942;2989,42954003574;3127,52389454201;15018,6824011943;15358,0894882281;14834,1937022808;16056,0161749037;1,78366676137003;4,61942162064217;;5,94848012924194;6,24105978012085;6,314040184021;6,32047986984253;6,08851003646851;;;;6,09;1392;866,15539551;853,38793945;11,4;60;;5,948480129;6,08851003646851;;6,08851003646851;-;0,519060015678406;;;11,5;14,4029998779297;0,7;100;;31;31;47;42;-0,41;-0,485006988048553;-0,29;-0,46029195189476;-0,11;-0,110795244574547;-0,28;-0,280396819114685;-0,53;-0,477816075086594;55,5;57,2;31,4;40;51,4;53,3;50;50;40,5;;2,05781083913756;75%;85,9559309315079%;;10,7;15,009746588694;15,2046783625731;1,19080984797947%;1,5%
Brunei;BRN;400000;5265;;-;-;-;0,853;0,829;72,5;;-0,2;-1,60554514769878;25,9045446462882;26,9068199386988;27,2118284787284;26,7749302869881;61831,8888466878;64718,8324950002;65607,350749438;66619,8709407373;0,052237790776772;-1,60554514769878;;3,35318994522095;;4,42540979385376;;;;;;-;2083;763,14569092;671,56268311;23,2;10;;3,353189945;;;;;0,770210027694702;1,68116998672485;;2;7,64900016784668;;100;;6;7;22;21;1,19;1,16864395141602;1,14;1,45483326911926;0,72;0,993437647819519;0,65;0,89020574092865;0,71;1,25;57,1;51,6;45,4;61,1;64,2;64,8;50;50;37,5;;16,1321585500862;0,1%;0,0431300327356949%;;9,1;9,09090909090909;9,09090909090909;3,26222960003641%;3,3%
Bulgaria;BGR;7000000;108489;;40,2;20,4;40,1;0,813;0,795;59,9;;3;4,17787358423621;155,998609355325;162,297196854872;155,176975652706;161,660073527317;23016,090640831;24497,6272661983;24564,4376812432;26705,438859784;2,68457613091411;4,17787358423621;;;;;4,07527017593384;;;;;;1492;689,90539551;697,8963623;5,8;320;;-;;;;;13,3049602508545;;;8;5,42399978637695;0,3;99,6999969482422;;33;33;47;46;0,37;0,458269119262695;0,26;-0,139183074235916;0,63;0,448316186666489;-0,04;-0,043917592614889;-0,16;-0,235711768269539;42,5;61,1;38,2;45,6;68,3;71;60;60;36,3;;5,61085727989368;18,8%;21,0751840168244%;;23,8;23,75;23,75;1,5948890065513%;3,2%
Burkina Faso;BFA;19000000;273800;;39,5;17,9;41,5;0,423;0,449;33,4;;4;6,90634167337785;41,8299292678886;44,209263811574;45,0626462344256;48,1748265504405;2168,4087062014;2267,32096279003;2273,83136519316;2461,94284491403;6,60456906812341;6,90634167337785;;4,05329990386963;3,67008996009827;;5,62846994400024;5,488609790802;5,69684505462646;5,51907587051392;;5,52;96;40,26911545;42,3445282;24,3;548;;4,559939861;5,488609790802;5,51907587051392;5,488609790802;5,52;20,6583194732666;24,5043392181396;;3;4,75799989700317;8,4;18,957239151001;;23;23;37;30;-0,92;-1,63874197006226;-0,59;-0,726333022117615;-0,44;-0,466939270496368;-0,4;-0,43847268819809;-0,11;-0,059376008808613;47,1;36,3;31,8;41,4;60;58,3;40;40;23,3;;0,246046245966625;9,9%;12,4527952181266%;;11;11,0236220472441;6,2992125984252;2,89113381833019%;2,4%
Burundi;BDI;11000000;25680;;42,4;15,6;37,7;0,417;0,426;28,3;;-4,1;1,79529999810393;8,51032091311309;8,66457603894662;8,69292279667592;8,84898683947982;779,717037494506;783,157765560833;771,101237228677;793,236434389554;1,60993542127714;1,79529999810393;;6,78452014923096;6,37054014205933;4,69199991226196;4,76202011108398;5,07864999771118;5,34668445587158;5,0409836769104;;5,04;64;22,40539742;20,56754112;3,4;;;-;5,07864999771118;5,0409836769104;5,07864999771118;5,04;6,39089012145996;10,1109399795532;;1,6;1,79200005531311;;11,7355556488037;;4;4;14;10;-1,97;-1,36397981643677;-1,34;-1,33109068870544;-0,84;-0,984301567077637;-1,4;-1,29398632049561;-1,28;-1,58075332641602;21,7;7,1;26,2;12,2;50,9;39,4;30;30;26,7;;0,062442671221937;87%;65,5356652295548%;;36,4;36,3636363636364;38,2113821138211;1,92280184600382%;1,8%
Cabo Verde;CPV;500000;4033;;-;-;-;0,654;0,662;-;;1,8;6,952448693837;3,73249685442604;3,944045536725;3,3609813112476;3,59465181252154;7028,17143256984;7474,51041918796;6376,12227912431;7028,04684564101;4,53116168434889;6,952448693837;;4,96387004852295;5,26691007614136;5,28879022598267;5,18174982070923;5,36884689331055;4,73345994949341;7,58479499816895;;7,58;310;190,45559692;177,89027405;6,7;58;;4,963870049;5,36884689331055;7,58479499816895;5,36884689331055;7,58479499816895;6,44506978988647;;;10,5;;;94,1617431640625;;37;38;53;54;0,9;-;0,16;-;-0,2;-;0,41;-;0,84;-;52;77,4;42,8;60,9;60;66,7;60;60;30,8;;1,18195567512973;30,7%;18,9765458422175%;;23,6;23,6111111111111;38,8888888888889;;
Cambodia;KHM;16000000;176515;;37,9;25,6;48;0,582;0,593;38,5;;6,9;3,02638936277746;67,5883929941564;72,3561505098081;70,1159992200128;72,2379823620124;4258,70523690938;4574,02845195435;4423,47463119877;4683,00474859418;7,469169206999;3,02638936277746;;1,90938997268677;2,59999990463257;2,79999995231628;3,20000004768372;2,16285991668701;;;;2,16;210;92,90358734;113,31044006;39,2;160;;1,90083003;2,16285991668701;;2,16285991668701;-;9,3097095489502;10,8462600708008;;0,3;15,4230003356934;;86,4000015258789;;10;5;20;19;0,17;-0,132115364074707;-0,66;-0,422636479139328;-0,5;-0,644233465194702;-1,06;-0,900165736675262;-1,29;-1,17695665359497;24,5;20,9;17,7;12,3;58,7;57,1;50;50;21,2;;0,981406549971231;47,7%;50,0966437400295%;;20,3;20;21,6;2,31636442061391%;2,3%
Cameroon;CMR;24000000;472710;;44,6;16,7;39,9;0,556;0,576;32,1;;5,9;3,48659924051415;93,5989894651162;96,8516104884449;97,3280378384581;100,721476466541;3800,52695041483;3900,82251468746;3867,20380825838;4064,46689476455;3,9555142403664;3,48659924051415;;2,58396005630493;2,65791988372803;2,56234002113342;3,05962991714478;3,03096008300781;3,08087658882141;3,16616129875183;;3,17;163;53,17176819;53,99584961;63,8;529;;-;3,03096008300781;3,16616129875183;3,03096008300781;3,16616129875183;;;;4,5;0,611999988555908;;64,7213668823242;;9;6;13;9;-1,08;-1,40651059150696;-0,82;-0,875312626361847;-0,82;-0,922730326652527;-1,02;-1,09744787216187;-1,18;-1,09271419048309;29,4;10,9;23,4;19,9;51,9;52,9;50;50;21,6;;0,364424921654471;77%;64,3252283545607%;;31,1;31,1111111111111;33,8888888888889;1,02408931411506%;1,1%
Canada;CAN;37000000;9093507;;32,1;23,9;40,2;0,926;0,936;76,9;;1,2;4,56289386263273;1814,79849004967;1848,90929778749;1752,15542489743;1832,10441724387;49992,7622757708;49299,21177121;46572,1374328364;52085,0356853372;2,77704055379553;4,56289386263273;;;;;;;;;;-;4600;5018,71142578;5048,37255859;3,92658547392053;10;;-;;;;;0,211909994482994;;;7,1;3,86500000953674;;100;;40;40;59;58;1,11;0,936902642250061;1,85;1,6038920879364;1,89;1,61724555492401;1,8;1,62713325023651;1,92;1,64609467983246;77,1;96,4;78,3;86,7;77,7;76,6;80;80;39,9;;15,4306128276297;64,7%;68,822442839188%;;26,3;26,9461077844311;30,4733727810651;1,31515295224175%;1,3%
Central African Republic;CAF;4900000;622984;;43,6;-;25,2;0,367;0,404;16,1;;4,3;0,900000006878756;4,35424094575063;4,4892224150689;4,52962541666343;4,57039204572498;955,402048967975;985,987716565765;989,218743666095;1020,53316475871;3,78944359275462;0,900000006878756;;2,22015333175659;1,91022861003876;1,75408899784088;1,75365018844604;1,56587600708008;1,76871228218079;2,16669702529907;;2,17;32;53,6903801;37,19958115;4,4;829;;-;1,56587600708008;2,16669702529907;1,56587600708008;2,16669702529907;;;;6,9;7,51000022888184;;15,4650840759277;;4;3;5;4;-1,94;-2,10453534126282;-1,77;-1,64426708221436;-1,48;-1,49033451080322;-1,73;-1,66670978069305;-1,17;-1,22633492946625;28,2;12,3;24,6;18,3;49,2;45,7;30;30;13,4;;0,050577648311177;86,2%;99,3772359878097%;;8,6;8,57142857142857;12,8571428571429;1,85867507845215%;1,5%
Chad;TCD;15000000;1259200;;43,3;12,8;30,4;0,404;0,394;20,4;;1,8;-1,1999905246095;24,3978678770283;25,1901110309707;24,7870675574035;24,4896250953861;1613,97959779722;1646,29357270445;1591,66995264718;1590,55299027058;2,37403780037786;-1,1999905246095;;2,59999990463257;2,40000009536743;2,29999995231628;2,45481991767883;2,25947999954224;2,37245988845825;2,90851044654846;;2,91;100;29,69879913;29,85083008;11,5507295538528;1140;;-;2,25947999954224;2,90851044654846;2,25947999954224;2,90851044654846;25,7212600708008;;;5,8;1,88199996948242;8,4;11,080117225647;;4;1;14;14;-1,34;-1,33553969860077;-1,46;-1,42402386665344;-1,21;-1,15497899055481;-1,3;-1,32509255409241;-1,43;-1,47772204875946;24,1;13,6;23,1;13,1;49,3;49,8;40;40;17,7;;0,1410934124928;;;;12,8;15,2542372881356;32,258064516129;2,79413804330523%;2,2%
Chile;CHL;18000000;743812;;50,5;31,7;45,6;0,843;0,855;62,6;;2,1;11,6682247016219;468,882568679532;472,495494473211;444,248655131958;496,084586446688;25526,7055235622;25322,7110553656;25089,0312965357;29104,0580923;3,99002947784489;11,6682247016219;;4,73094987869263;4,87530994415283;5,34201002120972;5,41966009140015;5,43316984176636;;;;5,43316984176636;1903;1455,11669922;1375,80297852;5,5;13;;4,722819805;5,43316984176636;;5,43316984176636;-;1,28386998176575;;;6,6;9,12800025939941;0,4;100;;37;38;57;56;0,38;0,062636606395245;0,85;0,626065135002136;1,34;0,953365683555603;1,01;0,914349317550659;1,04;0,983726680278778;63,4;91,4;61,2;71,4;75,2;74,4;70;70;25;;4,82111829925293;44,7%;48,2731505173683%;;15,8;22,5806451612903;35,4838709677419;1,96335905956343%;1,8%
China;CHN;1386000000;9326410;;46,5;25,7;41,9;0,752;0,768;50,8;;6,9;8,10979258077933;21229,3636934321;22492,6171400303;22996,3847037695;24861,3438043233;15495,5484221015;16652,0988008531;17189,281794248;19338,234084501;6,74977383247717;8,10979258077933;;3,72663998603821;3,82487010955811;3,79362010955811;3,66744995117188;3,54249000549316;3,53999996185303;3,5699999332428;;3,57;762;501,05938721;535,13336182;57,9;29;;-;3,54249000549316;3,5699999332428;3,54249000549316;3,5699999332428;;;;4,6;4,81699991226196;0,1;100;;0;-2;14;11;-0,25;-0,481860131025314;0,42;0,840674877166748;-0,15;-0,313303291797638;-0,26;0,035164542496204;-0,27;0,053693741559982;65,4;37,4;47,3;39,3;57,8;48;20;20;30,7;;7,60593696057347;25%;29,2123221847238%;;24,2;24,8993288590604;24,9411764705882;1,73634051023639%;1,9%
Colombia;COL;49000000;1038700;;51,1;40,7;60,2;0,843;0,752;49,1;;3,1;10,5632926952121;710,890844417811;733,545907627611;681,844482878908;753,869711331563;15044,0553365323;15673,0943538636;14868,4698189141;16893,8171849121;2,56432428277704;10,5632926952121;;4,62945985794067;4,47038984298706;4,47721004486084;4,53551006317139;4,44910001754761;4,5062198638916;4,93310022354126;;4,93;853;513,15869141;495,32971191;47,2;83;;4,665160179;4,44910001754761;4,93310022354126;4,44910001754761;4,93310022354126;2,28297996520996;1,20878005027771;;9,9;14,3360004425049;5,6;100;;29;29;36;35;-0,79;-0,914076626300812;-0,07;-0,014559228904545;0,34;0,220075607299805;-0,36;-0,452087342739105;-0,37;-0,344050168991089;36,4;59,1;33,4;42;68,9;65,1;70;70;29,2;;1,60987083062336;69,4%;67,1044707636718%;;18,7;18,1286549707602;18,8235294117647;3,40189397556368%;3,2%
Comoros;COM;800000;2235;;55,9;23,1;42,4;0,752;0,558;-;;1;2,34780356550492;2,55782089296136;2,60285864047385;2,59523097301324;2,65616189833073;3146,53164606745;3188,08310635464;3147,85659734717;3284,40149225267;3,64245114733686;2,34780356550492;;2,74472999572754;2,5450599193573;;;;;;;;121;69,41635895;72,32379913;12,2;273;;4,864930153;;;;;18,1545104980469;;;20;9,44699954986572;;86,7371368408203;;24;16;31;26;0,03;-0,227460592985153;-1,57;-1,79016625881195;-1,04;-1,24745810031891;-1,05;-1,22485589981079;-0,68;-1,28727853298187;28,2;21,2;27,5;20,1;56,2;50,4;30;30;27,2;;0,376076363303223;3,7%;0,391022131852663%;;6,1;6,06060606060606;16,6666666666667;;
Congo (Dem. Rep.);COD;81000000;2267048;;42,1;-;40,5;0,457;0,479;24,8;;7,7;5,71220368071927;91,2890104405752;95,2916034685568;96,9453156469502;102,48302953562;1111,83580619542;1144,28732084886;1141,72600679475;1218,76812781148;5,82112109989339;5,71220368071927;;1,95142996311188;2,17043995857239;2,1186900138855;1,45494997501373;;;2,45000004768372;2,70000004768372;2,7;34;18,52062225;20,57073212;33;473;;-;;2,70000004768372;;2,70000004768372;;;;3,6;5,42600011825562;;19,1000003814697;;2;2;19;15;-2,3;-1,61466693878174;-1,63;-1,71887814998627;-1,47;-1,42288911342621;-1,69;-1,70383512973785;-1,42;-1,55;23,9;13,2;27,3;11,8;52,1;47,6;20;20;13,2;;0,036985586246503;54,6%;28,8711929652413%;;8,9;8,94308943089431;12,8;0,561685780000026%;2,7%
Congo (Rep.);COG;4500000;341500;;48,9;18,8;47,2;0,606;0,571;32,7;;2,5;-3,49999999972705;20,6021024474628;20,5842021134063;19,299887949859;18,6243918716666;4022,27857208279;3987,16364226633;3689,11172892928;3616,86450812392;-4,80535155756866;-3,49999999972705;;3,1837100982666;3,28257989883423;5,23999977111816;4,45052003860474;2,99548006057739;3,57538986206055;4,44861888885498;;4,45;203;49,46409988;48,55877304;11,4;378;;-;2,99548006057739;4,44861888885498;2,99548006057739;4,44861888885498;15,6294898986816;;;11,2;23,0109996795654;;49,5171012878418;;4;4;13;15;-0,53;-0,606616318225861;-1,19;-1,55109667778015;-1,33;-1,35456943511963;-1,1;-1,13585698604584;-1,33;-1,37;28,2;14,9;24,6;13,4;38,9;48,5;30;30;47,1;;1,34931601739946;99,8%;99,9489723908063%;;11,3;11,2582781456954;11,2582781456954;2,91271196257524%;0,7%
Costa Rica;CRI;4900000;51060;;48,5;44,7;62,1;0,794;0,809;58,9;;3,7;7,57956529907922;103,351564495896;105,850100781285;101,56221040007;109,260184456532;21319,0439930804;22632,4420697427;22243,8019575334;23387,1322253792;2,6159044043379;7,57956529907922;;6,67952013015747;6,87349987030029;6,89395999908447;7,06980991363525;6,76991987228394;6,79584980010986;6,71066999435425;;6,71;1286;909,6730957;921,58575439;14,0499521768394;27;;6,858910084;6,76991987228394;6,71066999435425;6,76991987228394;6,79584980010986;0,119230002164841;0,073770001530647;;9;17,9540004730225;0,9;99,9000015258789;;38;38;53;53;0,51;0,872772753238678;0,25;0,257310390472412;0,45;0,456393539905548;0,45;0,451845198869705;0,47;0,495704889297485;57,8;78,4;51,8;63,1;65,6;65,4;50;50;19,3;;1,63247155826708;99,1%;99,8065604807178%;;35,1;45,6140350877193;45,6140350877193;;0%
Cote d'Ivoire;CIV;24000000;318003;;41,5;14,4;39,6;0,794;0,55;30,5;;8,6;7,02150183600973;126,185418257144;134,048926970757;136,674050645084;146,270621620477;5153,72918353003;5432,54772724009;5465,06878145594;5939,7641364134;6,89028431967284;7,02150183600973;;3,31416988372803;3,49415993690491;3,97232007980347;3,80347990989685;3,23993992805481;3,71638154983521;3,44301605224609;;3,44;190;72,17318726;75,08779144;48,3;617;;4,577429771;3,23993992805481;3,44301605224609;3,23993992805481;3,44;6,18146991729736;3,33608841896057;;9,3;3,46799993515015;2,4;69,6791229248047;;19;19;32;30;-1,09;-0,952860295772553;-0,74;-0,501908421516418;-0,36;-0,256431400775909;-0,63;-0,633732676506043;-0,52;-0,37;44,2;30;36,6;33,8;62;61,6;50;50;22,6;;0,421129515397207;;;;10,6;10,5882352941176;14,1732283464567;1,25148132873804%;1,1%
Croatia;HRV;4200000;55974;;30,8;30,2;46,2;0,831;0,858;64,5;;1,6;10,448872452853;115,24581287195;119,258609386344;109,598946753862;121,050800909844;28877,2382842567;30543,9337537029;28780,316739861;33800,5514794393;2,90000959900429;10,448872452853;;;;;3,85475993156433;3,90755009651184;;;;;1656;1014,22235107;1040,08569336;46,7;8;;-;3,90755009651184;;3,90755009651184;-;1,61779999732971;;;13,5;8,68299961090088;0,2;100;;37;36;49;49;0,75;0,707874298095703;0,58;0,591041088104248;0,42;0,502004384994507;0,33;0,302556723356247;0,19;0,061275687068701;56,5;69,9;40,5;50;61;67,6;60;60;47,4;;4,06370783264011;68,5%;59,184440477309%;;18,5;18,5430463576159;31,1258278145695;2,73556858687644%;1,7%
Cuba;CUB;11000000;109820;;-;-;-;0,777;0,764;-;;4,3;-10,9483409741617;0;0;0;0;;;;;2,24848039303581;-10,95;;;;;;;;;;;-;986,93731689;1031,92175293;;36;;-;;;;-;2,15558004379272;0,197510004043579;;2,9;2,75600004196167;;100;;1;1;13;11;0,69;0,427318871021271;-0,2;-0,215295180678368;-1,33;-1,44335496425629;-0,43;-0,40411439538002;0,27;-0,009721875190735;10;15,6;38,1;39,9;31,9;29,5;10;10;62,4;;2,28614606482985;4,2%;4,63985791587415%;;48,9;53,2231404958678;53,4129692832764;...;2,9%
Cyprus;CYP;800000;9241;;34,8;30,7;49,4;0,869;0,896;65,9;;1,6;5,51268536405595;34,782707772984;36,6203434061305;34,7950783186067;36,7132215084883;40559,125;42338,87890625;39593,42578125;42556,109375;5,69284172448825;5,51268536405595;;6,44049978256226;6,32612991333008;6,14541006088257;5,71853017807007;;;;;;2137;1981,77844238;1996,45825195;2,3;6;;-;;;;-;0,575219988822937;;;11,7;6,13000011444092;0,2;100;;38;38;56;55;0,6;0,443113803863525;0,92;0,736126184463501;1,03;0,85904860496521;0,88;0,637032389640808;0,78;0,394521176815033;56,7;90,9;41,3;62,9;67,8;72,9;60;60;39,6;;5,99879528274471;9,2%;13,2530120481928%;;17,9;17,8571428571429;14,2857142857143;1,98681221837651%;1,6%
Czech Republic;CZE;11000000;77247;;-;27,3;46,8;0,888;0,889;71,1;;4,2;3,34265300901824;424,484831837396;437,344507522895;411,988086975881;425,759419161977;41135,4929835656;42847,0047376207;41608,0253519702;44260,8564723717;3,19865610131447;3,34265300901824;;3,96522998809814;5,75182008743286;5,55373001098633;3,80615997314453;4,26692008972168;;;;4,26692008972168;2470;1765,58862305;1844,21777344;3,1;3;;-;4,26692008972168;;4,26692008972168;4,27;0,410930007696152;;;4;2,88700008392334;0;100;;37;36;56;55;1,02;0,957600653171539;1,02;1,11025178432465;1,23;1,34850704669952;1,12;1,1260153055191;0,57;0,641104996204376;57,9;81,8;51,1;59,6;74,2;74,4;80;80;41,4;;9,02278615795801;12,1%;15,5905323239446%;;20;22;25;1,4340913619415%;1,2%
Denmark;DNK;6000000;42434;;29;32,7;45,3;0,929;0,948;82;;1,2;4,69343301735276;325,479371132153;332,36216689929;325,508443702179;340,785964473168;57482,9623999067;58700,9746656312;60229,9147703017;64651,2164467137;1,98953731496432;4,69343301735276;;7,634850025177;;;7,75243997573853;6,79277992248535;;;;6,79277992248535;5083;6216,76855469;6003,32519531;27,9;4;;-;6,79277992248535;;6,79277992248535;6,79;0,603749990463257;;;6,1;4,7979998588562;0,2;100;;40;40;57;57;0,87;0,949907004833221;1,8;2,00407338142395;1,62;1,80882060527802;1,86;1,93643748760223;2,19;2,36617517471313;83,6;89,6;84,1;99,5;76,6;78;80;80;54,6;;5,10798850907958;69,4%;85,2022349509787%;;37,4;37,4301675977654;39,6648044692737;1,37159146918744%;1,3%
Djibouti;DJI;1000000;23180;;40,9;16,4;-;0,476;0,509;-;;6,5;4,30966144579628;4,85188158778039;5,12092475837757;5,18247940226482;5,40582671900056;5180,59694827309;5482,01213557167;5532,68212308233;5925,79529621207;4,7744168883374;4,30966144579628;;;3,59024000167847;3,92439007759094;3,74855995178223;3,62773990631104;;;;3,62773990631104;147;71,08630371;61,80943298;31,7;248;;-;3,62773990631104;;3,62773990631104;3,63;37,8930397033691;33,4846687316895;;6,6;28,3859996795654;;61,7670822143555;;7;5;19;19;-0,71;-0,707261562347412;-1,03;-0,798380613327026;-0,64;-0,869137227535248;-0,91;-1,0092499256134;-0,64;-0,78286600112915;13,8;28,3;29;24,5;45,1;55,3;50;50;49,3;;0,431407700717039;;1,74216027874564%;;10,8;26,1538461538462;26,1538461538462;;3,7%
Dominican Republic;DOM;11000000;48320;;47,1;30,3;54,8;0,736;0,767;48,1;;7;12,2719902266266;188,225854771193;197,735341211621;184,44705295751;207,082377269756;18134,9322584092;19190,0088838377;17934,1932525646;20769,1808196589;6,98252758458058;12,2719902266266;;3,96376991271973;3,81624007225037;3,85050010681152;3,92026996612549;3,92848992347717;4,04276990890503;4,61870241165161;;4,61870241165161;873;461,53515625;491,05935669;19,5;95;;-;5,57154989242554;4,69630002975464;3,92848992347717;4,61870241165161;5,67314004898071;4,10987997055054;;14,4;8,49600028991699;0,4;100;;26;27;41;41;0,16;0,137410506606102;-0,35;0,030997648835182;-0,08;0,089125387370586;-0,42;-0,096047066152096;-0,74;-0,569274544715881;23,1;55,9;26,2;30,8;61,6;63;40;40;17,7;;2,53562795178678;12,2%;10,9218923381735%;;26,8;26,8421052631579;27,8947368421053;0,65056272603802%;0,7%
Ecuador;ECU;17000000;276841;;45,9;37;58,8;0,752;0,74;48,1;;0;4,23525124172572;197,525050990573;197,548961601146;182,164624659428;189,879754187301;11837,959268778;11850,4949503501;10890,4566364911;11661,1931684907;1,28929193290502;4,23525124172572;;5,26099014282227;4,99870014190674;4,36275005340576;4,61426019668579;4,6214599609375;4,22565984725952;4,13413000106812;;4,13413000106812;980;495,16958618;486,49215698;16,6;59;;-;4,6214599609375;4,13413000106812;4,6214599609375;4,13;1,31207001209259;1,3798600435257;;5,4;6,42700004577637;2,1;98,8499984741211;;25;31;35;40;-0,1;-0,266253769397736;-0,32;-0,209148362278938;-1;-0,702785313129425;-0,7;-0,339322566986084;-0,6;-0,573393404483795;23,3;47,3;30,2;37,2;48,5;54,3;40;40;39,8;;2,26146981694915;54,1%;81,1713029248027%;;38;37,956204379562;39,4160583941606;2,45571202299678%;2,3%
Egypt;EGY;98000000;995450;;31,8;23,8;43,2;0,696;0,731;43,1;;4,2;3,3267420905086;1118,7156834847;1180,89036477732;1223,04424766257;1263,7317754351;11637,8785143941;12259,716567935;12605,9757372681;13316,2449923351;5,31412103746398;3,3267420905086;;4,25138998031616;3,9308500289917;4,05000019073486;;;2,60999989509583;2,48000001907349;;2,48000001907349;495;125,54537201;149,84031677;3,05844048629935;37;;-;;2,48000001907349;;2,48;0,651929974555969;;;12;9,32900047302246;;100;;10;6;16;12;-1,42;-1,02420508861542;-0,62;-0,432110905647278;-0,86;-0,5065838098526;-0,53;-0,244830429553986;-0,54;-0,68;52,5;22,1;32,2;28,7;53,4;49,1;50;50;34,1;;2,48405991083232;8,7%;9,5907865494219%;;14,9;14,9328859060403;27,7027027027027;1,3008191087835%;1,2%
El Salvador;SLV;6000000;20721;;36;35,6;56,3;0,674;0,675;47,2;;2,4;10,8008685930512;55,31910343341;56,6371261014415;51,7769175130753;57,3692743351951;8821,51945731413;9146,51204255841;8419,79943795876;9668,72725607406;2,43228758708827;10,8008685930512;;3,82416009902954;3,90987992286682;3,82523989677429;3,7252299785614;3,60575008392334;3,38515996932983;;;3,38515996932983;578;288,51745605;300,05328369;1,6;46;;3,448559999;3,60575008392334;3,38515996932983;3,60575008392334;3,39;;;;6,3;5,94000005722046;0,3;100;;34;26;36;33;-0,25;-0,211234390735626;-0,37;-0,312677413225174;-0,15;-0,3440922498703;-0,86;-0,847537100315094;-0,51;-0,532646834850311;35,4;46,8;25,2;36,1;63,2;59,6;60;60;21,3;;1,20863713626374;58,4%;71,2123759878931%;;32,1;30,952380952381;27,3809523809524;1,3749020324974%;1,2%
Equatorial Guinea;GNQ;800000;28051;;-;-;-;0,591;0,596;-;;-12,2;-0,945391900179573;26,684599028365;25,2217964400519;24,1520194509497;23,9236882153307;20873,0379596654;19385,4136854763;18157,5136718207;18127,1864841393;-6,23655098228059;-0,945391900179573;;;;;;;;;;;790;310,58486938;254,89109802;3,6;301;;-;;;;-;;;;7,3;9,24499988555908;;66,7477264404297;;1;0;6;5;-0,15;-0,286741405725479;-1,44;-1,15928483009338;-1,4;-1,7128119468689;-1,49;-1,19723165035248;-1,83;-1,56758201122284;17,6;6,9;26,2;6,5;42;47,2;30;30;36,1;;3,94548003191235;45,9%;10,579584927618%;;24;20;23;1,3051715490862%;1,1%
Eritrea;ERI;5000000;101000;;-;-;-;0,44;0,492;-;;4,8;;0;0;0;0;;;;;;;;;;;;;;;;;56;23,97976303;25,2679348;2,7;480;;-;;;;-;47,3481788635254;;;7,3;8,04699993133545;;52,1710968017578;;1;1;2;2;-0,66;-1,00578594207764;-1,73;-1,67682373523712;-2,2;-2,26874208450317;-1,56;-1,57183074951172;-1,2;-1,23686194419861;13,8;3,9;23,4;11,1;41,7;39,7;20;20;28,5;;0,251635846107416;1%;5,26939797128178%;;22;22;22;...;
