Y,X,COD_RIP,COD_REG,COD_PROV,COD_CM,COD_UTS,PRO_COM,PRO_COM_T,COMUNE,COMUNE_A,CC_UTS,Shape_Leng,Shape_Area,code,x,y
45.3679635833917,7.76425763459562,"1","1","1","201","201","1001","1001",Agliè,,"0",16097.8482974,13306962.1729,"112",403230.091289676,5024570.49934212
44.9181099078661,7.4835507505589,"1","1","1","201","201","1002","1002",Airasca,,"0",16684.2185988,15953529.2486,"112",380310.414191779,4974972.0405
45.3150528572378,7.30575981753613,"1","1","1","201","201","1003","1003",Ala di Stura,,"0",29892.6745816,45751887.7518,"112",367201.958024076,5019345.91558962
45.4350823747172,7.94696534809566,"1","1","1","201","201","1004","1004",Albiano d'Ivrea,,"0",16192.6564803,11033555.4228,"112",417635.345558888,5031823.66490548
45.1150618958035,7.39796284250555,"1","1","1","201","201","1006","1006",Almese,,"0",16077.2450888,17717104.1091,"112",373987.978235138,4996980.82010611
45.4086823619873,7.57847761658024,"1","1","1","201","201","1007","1007",Alpette,,"0",8909.39999533,5321039.38285,"112",388761.764374739,5029334.25116405
45.0997001942772,7.52303293864621,"1","1","1","201","201","1008","1008",Alpignano,,"0",15510.2968348,11989230.3436,"112",383794.48540283,4995086.96728489
45.03739654379,7.86959224289428,"1","1","1","201","201","1009","1009",Andezeno,,"0",11559.4505303,7495051.05213,"112",410964.550233356,4987726.19721428
44.8276948735994,7.22874900091908,"1","1","1","201","201","1011","1011",Angrogna,,"0",32578.8342413,38417517.3023,"112",359980.381721698,4965335.7980566
45.0417173959722,7.90187051810899,"1","1","1","201","201","1012","1012",Arignano,,"0",12922.8964326,7990592.55943,"112",413513.427135302,4988171.20370446
45.0764540564756,7.39974986212003,"1","1","1","201","201","1013","1013",Avigliana,,"0",23740.0533153,23448433.4439,"112",374043.674074698,4992689.12558032
45.4230084862211,7.98753268918335,"1","1","1","201","201","1014","1014",Azeglio,,"0",19927.8750153,10059617.2671,"112",420791.487922667,5030441.5582273
45.3864615351166,7.7550709171864,"1","1","1","201","201","1015","1015",Bairo,,"0",11478.4028473,6986588.78659,"112",402542.474437418,5026636.60239223
45.2682660156712,7.51903591587536,"1","1","1","201","201","1016","1016",Balangero,,"0",16169.2690747,13059392.155,"112",383823.438416127,5013818.8197009
45.0687066650352,7.8116955250183,"1","1","1","201","201","1018","1018",Baldissero Torinese,,"0",19830.317197,15857126.5247,"112",406455.435475406,4991269.68566158
45.4555952361775,7.85864314565314,"1","1","1","201","201","1020","1020",Banchette,,"0",10998.3656037,1877816.94542,"112",410759.459570418,5034196.81870211
45.2917875105191,7.63345631445023,"1","1","1","201","201","1021","1021",Barbania,,"0",15430.6314197,12696739.7492,"112",392843.605450166,5016273.3972271
45.0766557278695,6.70164474386614,"1","1","1","201","201","1022","1022",Bardonecchia,,"0",56314.3634212,131576721.114,"112",319096.212644356,4994035.70863526
45.3259629043242,7.87291899524608,"1","1","1","201","201","1023","1023",Barone Canavese,,"0",12577.0031113,4003332.4358,"112",411673.95162152,5019779.60375386
45.0025953434297,7.59970168858712,"1","1","1","201","201","1024","1024",Beinasco,,"0",15896.854335,6694101.47331,"112",389640.039634618,4984192.44486585
44.798369236565,7.29009712184027,"1","1","1","201","201","1025","1025",Bibiana,,"0",23953.7096955,18411373.8369,"112",364761.499226532,4961974.29285329
44.8080791998726,7.12081164688683,"1","1","1","201","201","1026","1026",Bobbio Pellice,,"0",42731.7272072,94599334.5399,"112",351397.384333617,4963348.49491311
45.4703171419417,7.94531926773305,"1","1","1","201","201","1027","1027",Bollengo,,"0",17217.2075415,14316277.6947,"112",417557.952975828,5035739.79046311
45.1532187516706,7.65608811163041,"1","1","1","201","201","1028","1028",Borgaro Torinese,,"0",15741.6815892,10934155.7635,"112",394361.902804665,5000849.75069517
45.5130706058172,7.85912220087488,"1","1","1","201","201","1030","1030",Borgofranco d'Ivrea,,"0",18327.6060543,13511509.8534,"112",410887.589642873,5040581.59633665
45.361930319498,7.98961788246325,"1","1","1","201","201","1031","1031",Borgomasino,,"0",13983.9092294,12144950.4182,"112",420869.421324698,5023654.04117089
45.1217256628174,7.24158709237266,"1","1","1","201","201","1032","1032",Borgone Susa,,"0",11267.1706616,4996419.70778,"112",361703.986439285,4997976.73774252
45.2661255972399,7.7652027094921,"1","1","1","201","201","1033","1033",Bosconero,,"0",19056.4013275,11139571.2444,"112",403130.713551253,5013255.84859789
45.179083207577,7.83744736412877,"1","1","1","201","201","1034","1034",Brandizzo,,"0",10287.261271,6234698.04934,"112",408658.975265328,5003501.9337941
44.8191967318876,7.29984567918517,"1","1","1","201","201","1035","1035",Bricherasio,,"0",23608.7681525,22770214.6967,"112",365580.923969275,4964271.72226263
45.0212728596798,7.48040909879793,"1","1","1","201","201","1038","1038",Bruino,,"0",10386.3924797,5681245.79265,"112",380277.307321371,4986436.72598666
45.1551572675486,8.05927702679,"1","1","1","201","201","1039","1039",Brusasco,,"0",20742.1586454,14555426.6261,"112",426057.032395416,5000617.05222712
45.1421177676847,7.19478683742325,"1","1","1","201","201","1040","1040",Bruzolo,,"0",21717.1199485,12340999.9618,"112",358073.836132645,5000323.228764
44.8728897684995,7.41203319893615,"1","1","1","201","201","1041","1041",Buriasco,,"0",16129.7260308,14954447.9965,"112",374567.414296345,4970056.74239319
45.4792079874389,7.93525766731106,"1","1","1","201","201","1042","1042",Burolo,,"0",10725.8247972,5606209.42512,"112",416784.549256906,5036737.90181454
