procom;out;in;self;sum;inout;saldo
1158;357;72;50;479;429;-285
1159;394;89;122;605;483;-305
1160;1185;444;540;2169;1629;-741
1161;1616;326;1100;3042;1942;-1290
1162;316;63;78;457;379;-253
1163;322;100;89;511;422;-222
1164;15568;6726;9373;31667;22294;-8842
1165;34;12;23;69;46;-22
1166;2690;635;985;4310;3325;-2055
1167;118;7;18;143;125;-111
1168;2697;2049;1565;6311;4746;-648
1169;208;28;66;302;236;-180
1170;568;374;202;1144;942;-194
1171;6988;10889;4805;22682;17877;3901
1172;287;195;73;555;482;-92
1173;466;543;133;1142;1009;77
1174;343;177;127;647;520;-166
1175;604;1166;935;2705;1770;562
1176;454;445;173;1072;899;-9
1177;397;75;51;523;472;-322
1178;526;405;451;1382;931;-121
1179;194;119;32;345;313;-75
1180;505;82;128;715;587;-423
1181;1359;613;555;2527;1972;-746
1182;90;4;3;97;94;-86
1183;1480;691;573;2744;2171;-789
1184;973;570;491;2034;1543;-403
1185;247;26;37;310;273;-221
1186;187;53;64;304;240;-134
1187;313;102;112;527;415;-211
1188;209;104;68;381;313;-105
1189;5160;5117;2818;13095;10277;-43
1190;1116;285;312;1713;1401;-831
1191;6571;12233;10814;29618;18804;5662
1192;3192;1084;1201;5477;4276;-2108
1193;1276;1133;715;3124;2409;-143
1194;6570;1691;3421;11682;8261;-4879
1195;1208;352;600;2160;1560;-856
1196;464;303;220;987;767;-161
1197;3150;2945;2382;8477;6095;-205
1198;341;167;119;627;508;-174
1199;937;467;780;2184;1404;-470
1200;489;94;78;661;583;-395
1201;155;78;188;421;233;-77
1202;36;63;61;160;99;27
1203;583;233;395;1211;816;-350
1204;85;11;3;99;96;-74
1205;498;68;115;681;566;-430
1206;277;94;88;459;371;-183
1207;199;68;51;318;267;-131
1208;149;13;6;168;162;-136
1209;144;70;22;236;214;-74
1210;337;219;174;730;556;-118
1211;672;97;177;946;769;-575
1212;10;5;4;19;15;-5
1213;442;91;147;680;533;-351
1214;7459;6037;3151;16647;13496;-1422
1215;1528;1140;807;3475;2668;-388
1216;972;770;413;2155;1742;-202
1217;3313;3760;2967;10040;7073;447
1218;680;86;186;952;766;-594
1219;13632;15553;10603;39788;29185;1921
1220;1046;1880;516;3442;2926;834
1221;566;713;300;1579;1279;147
1222;762;842;249;1853;1604;80
1223;1235;425;346;2006;1660;-810
1224;46;116;43;205;162;70
1225;565;513;336;1414;1078;-52
1226;89;15;28;132;104;-74
1227;232;67;136;435;299;-165
1228;1817;1617;709;4143;3434;-200
1229;994;71;241;1306;1065;-923
1230;217;26;58;301;243;-191
1231;720;499;216;1435;1219;-221
1232;160;185;130;475;345;25
1233;261;72;11;344;333;-189
1234;9;25;7;41;34;16
1235;678;171;177;1026;849;-507
1236;1994;1938;1016;4948;3932;-56
1237;1482;979;582;3043;2461;-503
1238;181;64;34;279;245;-117
1239;244;385;61;690;629;141
1240;1873;420;790;3083;2293;-1453
1241;1456;542;444;2442;1998;-914
1242;718;195;195;1108;913;-523
1243;1279;727;378;2384;2006;-552
1244;804;743;520;2067;1547;-61
1245;381;89;97;567;470;-292
1246;1066;513;574;2153;1579;-553
1247;339;48;75;462;387;-291
1248;3798;2316;1763;7877;6114;-1482
1249;7014;5812;3246;16072;12826;-1202
1250;586;109;114;809;695;-477
1251;132;151;13;296;283;19
1252;1087;433;518;2038;1520;-654
1253;753;159;228;1140;912;-594
1254;1198;1011;576;2785;2209;-187
1255;1670;769;804;3243;2439;-901
1256;1394;889;736;3019;2283;-505
1257;3466;1987;2307;7760;5453;-1479
1258;58;12;19;89;70;-46
1259;225;109;291;625;334;-116
1260;1141;712;525;2378;1853;-429
1261;303;1231;125;1659;1534;928
1262;571;81;198;850;652;-490
1263;85;202;321;608;287;117
1264;174;118;43;335;292;-56
1265;13218;10630;11441;35289;23848;-2588
1266;432;428;271;1131;860;-4
1267;309;217;178;704;526;-92
1268;124;9;3;136;133;-115
1269;2123;1259;1170;4552;3382;-864
1270;1262;2418;1785;5465;3680;1156
1271;327;79;78;484;406;-248
1272;69012;180232;355525;604769;249244;111220
1273;1109;215;391;1715;1324;-894
1274;219;299;43;561;518;80
1275;1238;875;724;2837;2113;-363
1276;1450;712;532;2694;2162;-738
1277;39;2;5;46;41;-37
1278;88;12;36;136;100;-76
1279;187;15;51;253;202;-172
1280;4028;2629;1844;8501;6657;-1399
1281;37;9;23;69;46;-28
1282;29;22;43;94;51;-7
1283;552;390;193;1135;942;-162
1284;1528;468;420;2416;1996;-1060
1285;399;16;64;479;415;-383
1286;337;134;60;531;471;-203
1287;944;1573;601;3118;2517;629
1288;24;18;12;54;42;-6
1289;315;100;70;485;415;-215
1290;582;293;137;1012;875;-289
1291;339;84;106;529;423;-255
1292;11171;8451;6632;26254;19622;-2720
1293;1795;329;677;2801;2124;-1466
1294;526;128;128;782;654;-398
1295;267;309;105;681;576;42
1296;97;71;12;180;168;-26
1297;214;223;165;602;437;9
1298;172;67;56;295;239;-105
1299;1479;636;1233;3348;2115;-843
1300;1293;451;1120;2864;1744;-842
1301;462;327;123;912;789;-135
1302;1238;878;527;2643;2116;-360
1303;1257;347;313;1917;1604;-910
1304;360;138;118;616;498;-222
1305;750;98;233;1081;848;-652
1306;363;68;153;584;431;-295
1307;1110;1746;971;3827;2856;636
1308;1620;1378;971;3969;2998;-242
1309;5152;1980;2440;9572;7132;-3172
1310;405;248;192;845;653;-157
1311;394;115;193;702;509;-279
1312;207;108;47;362;315;-99
1313;227;39;216;482;266;-188
1314;4718;4419;3430;12567;9137;-299
1315;3370;2332;1552;7254;5702;-1038
2002;64;81;115;260;145;17
2003;119;56;33;208;175;-63
2004;822;293;439;1554;1115;-529
2006;207;324;192;723;531;117
2007;505;197;215;917;702;-308
2008;35;81;6;122;116;46
2009;81;265;45;391;346;184
2011;451;718;525;1694;1169;267
2014;49;18;21;88;67;-31
2015;700;310;595;1605;1010;-390
2016;2439;4307;3934;10680;6746;1868
2017;859;465;361;1685;1324;-394
2019;69;3;6;78;72;-66
2021;261;279;172;712;540;18
2025;61;15;41;117;76;-46
2029;17; ;7;17 7;17 ;-17
2030;292;118;141;551;410;-174
2031;520;839;108;1467;1359;319
2032;253;483;178;914;736;230
2033;119;12;20;151;131;-107
2035;120;13;29;162;133;-107
2038;316;31;84;431;347;-285
2041;17;1;2;20;18;-16
2042;1290;738;989;3017;2028;-552
2043;100;12;16;128;112;-88
2045;39;11;17;67;50;-28
2047;282;48;40;370;330;-234
2048;91;10;16;117;101;-81
2049;1859;1243;2095;5197;3102;-616
2052;140;103;40;283;243;-37
2054;387;184;139;710;571;-203
2057;36;13;38;87;49;-23
2058;343;59;174;576;402;-284
2059;175;229;93;497;404;54
2061;1921;1974;2290;6185;3895;53
2062;292;215;73;580;507;-77
2065;127;194;45;366;321;67
2066;128;62;21;211;190;-66
2067;216;19;20;255;235;-197
2068;318;238;146;702;556;-80
2070;239;51;62;352;290;-188
2071;1203;462;894;2559;1665;-741
2072;276;152;118;546;428;-124
2078;22;9;12;43;31;-13
2079;386;510;222;1118;896;124
2082;267;22;71;360;289;-245
2088;299;93;128;520;392;-206
2089;86;10;21;117;96;-76
2090;417;144;190;751;561;-273
2091;113;23;29;165;136;-90
2093;559;66;166;791;625;-493
2096;47;33;20;100;80;-14
2097;45;15;25;85;60;-30
2102;248;26;36;310;274;-222
2104;288;383;83;754;671;95
2107;1191;1064;978;3233;2255;-127
2108;207;330;26;563;537;123
2110;14;4;10;28;18;-10
2111;10;6;6;22;16;-4
2112;29;24;9;62;53;-5
2113;21;3;27;51;24;-18
2114;61;82;33;176;143;21
2115;185;11;14;210;196;-174
2116;802;326;374;1502;1128;-476
2118;172;84;97;353;256;-88
2121;62;5;14;81;67;-57
2122;287;151;181;619;438;-136
2123;15;9;2;26;24;-6
2126;89;9;13;111;98;-80
2127;39;22;7;68;61;-17
2128;958;1885;1097;3940;2843;927
2131;536;127;260;923;663;-409
2133;2223;1539;2116;5878;3762;-684
2134;129;50;52;231;179;-79
2135;68;132;90;290;200;64
2137;1486;1190;1023;3699;2676;-296
2142;475;92;151;718;567;-383
2147;221;178;101;500;399;-43
2148;1491;1104;1925;4520;2595;-387
2150;1134;450;682;2266;1584;-684
2152;552;673;532;1757;1225;121
2156;1208;1981;2302;5491;3189;773
2158;5763;10515;16324;32602;16278;4752
2163;154;71;63;288;225;-83
2164;489;155;293;937;644;-334
2166;73;7;4;84;80;-66
3001;658;199;174;1031;857;-459
3002;276;140;75;491;416;-136
3006;622;184;402;1208;806;-438
3008;3148;4518;3302;10968;7666;1370
3012;343;43;63;449;386;-300
3016;2968;1109;1989;6066;4077;-1859
3018;370;1352;266;1988;1722;982
3019;442;337;182;961;779;-105
3021;465;281;148;894;746;-184
3022;463;330;133;926;793;-133
3023;678;318;367;1363;996;-360
3024;4832;7159;6293;18284;11991;2327
3025;1687;842;898;3427;2529;-845
